KHACHHANG_ID,NGAY,UP,DOWN,NGAY_THANHLY,THANHLY
19143,1/7/2023,0,0,5/19/2023,1
19143,1/9/2023,0,0,5/19/2023,1
19143,1/10/2023,0,0,5/19/2023,1
19143,1/11/2023,0,0,5/19/2023,1
19143,1/12/2023,0,1,5/19/2023,1
19143,1/13/2023,0,0,5/19/2023,1
19143,1/14/2023,0,0,5/19/2023,1
19143,1/16/2023,0,0,5/19/2023,1
19143,1/17/2023,0,1,5/19/2023,1
19143,1/18/2023,0,0,5/19/2023,1
19143,1/19/2023,0,0,5/19/2023,1
19143,1/20/2023,0,0,5/19/2023,1
19143,1/21/2023,0,0,5/19/2023,1
19143,1/25/2023,0,0,5/19/2023,1
19143,1/27/2023,0,0,5/19/2023,1
19143,1/30/2023,0,1,5/19/2023,1
19143,1/31/2023,0,0,5/19/2023,1
19143,2/1/2023,0,0,5/19/2023,1
19143,2/2/2023,0,0,5/19/2023,1
19143,2/3/2023,0,2,5/19/2023,1
19143,2/6/2023,0,3,5/19/2023,1
19143,2/7/2023,0,0,5/19/2023,1
19143,2/8/2023,0,0,5/19/2023,1
19143,2/9/2023,0,1,5/19/2023,1
19143,2/10/2023,0,2,5/19/2023,1
